StringId,X,Y,Z,Description,Width,Height,Rolling Resistance,Traction Coefficient,Ground Structure,Locked,Enabled (Fwd),Empty Only (Fwd),Full Only (Fwd),Maximum Speed Full (Fwd),Maximum Final Speed Full (Fwd),Maximum Speed Empty (Fwd),Maximum Final Speed Empty (Fwd),Enabled (Rev),Empty Only (Rev),Full Only (Rev),Maximum Speed Full (Rev),Maximum Final Speed Full (Rev),Maximum Speed Empty (Rev),Maximum Final Speed Empty (Rev)
15,9498.324,11014.201,1069.623,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
15,9600.168,11006.9,1072.408,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
15,9668.082,10944.904,1074.14,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
15,9681.418,10869.698,1075.461,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
15,9695.65,10787.734,1076.326,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
15,9724.566,10730.686,1078.409,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
15,9750.174,10721.263,1078.852,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
15,9774.195,10698.5,1079.69,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
16,10121.984,9496.573,1120.004,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
16,10171.379,9486.803,1120,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
16,10259.087,9463.137,1128.297,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
16,10361.886,9423.54,1138.682,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
